Id,City,2000 population,2010 population,2014 population estimate
1600000US4513330,"Charleston, South Carolina",96650,120083,130750
1600000US4516000,"Columbia, South Carolina",116278,129272,131758
1600000US4550875,"North Charleston, South Carolina",79641,97471,107972
1600000US4659020,"Sioux Falls, South Dakota",123975,153888,168604
1600000US4714000,"Chattanooga, Tennessee",155554,167674,173778
1600000US4715160,"Clarksville, Tennessee",103455,132929,146814
1600000US4740000,"Knoxville, Tennessee",173890,178874,184292
1600000US4748000,"Memphis, Tennessee",650100,646889,656876
1600000US4751560,"Murfreesboro, Tennessee",68816,108755,120960
1600000US4752006,"Nashville-Davidson (balance), Tennessee",545524,601222,644008
1600000US4801000,"Abilene, Texas",115930,117063,120176
1600000US4803000,"Amarillo, Texas",173627,190695,200246
1600000US4804000,"Arlington, Texas",332969,365438,383202
1600000US4805000,"Austin, Texas",656562,790390,912798
1600000US4807000,"Beaumont, Texas",113866,118296,117576
1600000US4810768,"Brownsville, Texas",139722,175023,183016
1600000US4813024,"Carrollton, Texas",109576,119097,128342
1600000US4815976,"College Station, Texas",67890,93857,103486
1600000US4817000,"Corpus Christi, Texas",277454,305215,320431
1600000US4819000,"Dallas, Texas",1188580,1197816,1281031
1600000US4819972,"Denton, Texas",80537,113383,128200
1600000US4824000,"El Paso, Texas",563662,649121,679024
1600000US4827000,"Fort Worth, Texas",534694,741206,812553
1600000US4827684,"Frisco, Texas",33714,116989,145038
1600000US4829000,"Garland, Texas",215768,226876,235597
1600000US4830464,"Grand Prairie, Texas",127427,175396,185415
1600000US4835000,"Houston, Texas",1953631,2099451,2240796
1600000US4837000,"Irving, Texas",191615,216290,232413
1600000US4839148,"Killeen, Texas",86911,127921,138143
1600000US4841464,"Laredo, Texas",176576,236091,253747
1600000US4842508,"Lewisville, Texas",77737,95290,102283
1600000US4845000,"Lubbock, Texas",199564,229573,243843
1600000US4845384,"McAllen, Texas",106414,129877,138584
1600000US4845744,"McKinney, Texas",54369,131117,156753
1600000US4847892,"Mesquite, Texas",124523,139824,144289
1600000US4848072,"Midland, Texas",94996,111147,128037
1600000US4853388,"Odessa, Texas",90943,99940,116394
1600000US4856000,"Pasadena, Texas",141674,149043,153914
1600000US4856348,"Pearland, Texas",37640,91252,104759
1600000US4858016,"Plano, Texas",222030,259841,277910
1600000US4861796,"Richardson, Texas",91802,99223,108609
1600000US4863500,"Round Rock, Texas",61136,99887,112196
1600000US4865000,"San Antonio, Texas",1144646,1327407,1436723
1600000US4872656,"The Woodlands, Texas",55649,93847,102764
1600000US4874144,"Tyler, Texas",83650,96900,101436
1600000US4876000,"Waco, Texas",113726,124805,130191
1600000US4879000,"Wichita Falls, Texas",104197,104553,105107
1600000US4962470,"Provo, Utah",105166,112488,114807
1600000US4967000,"Salt Lake City, Utah",181743,186440,190873
1600000US4982950,"West Jordan, Utah",68336,103712,110917
1600000US4983470,"West Valley City, Utah",108896,129480,134492
1600000US5101000,"Alexandria, Virginia",128283,139966,150575
1600000US5103000,"Arlington, Virginia",189453,207627,226908
1600000US5116000,"Chesapeake, Virginia",199184,222209,233371
1600000US5135000,"Hampton, Virginia",146437,137436,136879
1600000US5156000,"Newport News, Virginia",180150,180719,182965
1600000US5157000,"Norfolk, Virginia",234403,242803,245428
1600000US5167000,"Richmond, Virginia",197790,204214,217853
1600000US5182000,"Virginia Beach, Virginia",425257,437994,450980
1600000US5305210,"Bellevue, Washington",109569,122363,136426
1600000US5322640,"Everett, Washington",91488,103019,106741
1600000US5335415,"Kent, Washington",79524,92411,125547
1600000US5363000,"Seattle, Washington",563374,608660,668337
1600000US5367000,"Spokane, Washington",195629,208916,212067
1600000US5370000,"Tacoma, Washington",193556,198397,205153
1600000US5374060,"Vancouver, Washington",143560,161791,169303
1600000US5531000,"Green Bay, Wisconsin",102313,104057,104893
1600000US5548000,"Madison, Wisconsin",208054,233209,245674
1600000US5553000,"Milwaukee, Wisconsin",596974,594833,599653
