Id,City,Population estimate
1600000US4832372,"Harlingen city, Texas",65914
1600000US4816432,"Conroe city, Texas",65873
1600000US4738320,"Johnson City city, Tennessee",65820
1600000US0686972,"Yuba City city, California",65775
1600000US4850820,"New Braunfels city, Texas",65714
1600000US1232275,"Homestead city, Florida",65514
1600000US0639248,"Laguna Niguel city, California",65435
1600000US0665084,"San Clemente city, California",65342
1600000US4950150,"Millcreek CDP, Utah",65203
1600000US1770122,"Skokie village, Illinois",65128
1600000US3419390,"East Orange city, New Jersey",65095
1600000US5343955,"Marysville city, Washington",65088
1600000US1217100,"Delray Beach city, Florida",65054
1600000US3988000,"Youngstown city, Ohio",65051
1600000US2756896,"St. Cloud city, Minnesota",64221
1600000US3944856,"Lorain city, Ohio",63774
1600000US2407125,"Bethesda CDP, Maryland",62097
